,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
74303,2021-09-21,Suffolk,Chelsea,16-19 Years,1762.0,1766.0,1442.0,,,324.0
74304,2021-09-21,Suffolk,Chelsea,20-29 Years,6170.0,5418.0,4494.0,,,924.0
74305,2021-09-21,Suffolk,Chelsea,30-49 Years,11744.0,12089.0,10359.0,,,1730.0
74306,2021-09-21,Suffolk,Chelsea,50-64 Years,5861.0,6294.0,5582.0,,,712.0
74307,2021-09-21,Suffolk,Chelsea,65-74 Years,2092.0,2161.0,2013.0,,,148.0
74308,2021-09-21,Suffolk,Chelsea,75+ Years,1471.0,1446.0,1303.0,,,143.0
74309,2021-09-21,Suffolk,Chelsea,Total,36918.0,30845.0,26606.0,,,4239.0
76998,2021-09-28,Suffolk,Chelsea,12-15 Years,1768.0,1681.0,1431.0,,,250.0
76999,2021-09-28,Suffolk,Chelsea,16-19 Years,1762.0,1777.0,1456.0,,,321.0
77000,2021-09-28,Suffolk,Chelsea,20-29 Years,6170.0,5477.0,4540.0,,,937.0
77001,2021-09-28,Suffolk,Chelsea,30-49 Years,11744.0,12161.0,10409.0,,,1752.0
77002,2021-09-28,Suffolk,Chelsea,50-64 Years,5861.0,6346.0,5634.0,,,712.0
77003,2021-09-28,Suffolk,Chelsea,65-74 Years,2092.0,2218.0,2063.0,,,155.0
77004,2021-09-28,Suffolk,Chelsea,75+ Years,1471.0,1518.0,1359.0,,,159.0
77005,2021-09-28,Suffolk,Chelsea,Total,36918.0,31179.0,26892.0,,,4287.0
79694,2021-10-05,Suffolk,Chelsea,12-15 Years,1768.0,1695.0,1446.0,,,249.0
79695,2021-10-05,Suffolk,Chelsea,16-19 Years,1762.0,1796.0,1463.0,,,333.0
79696,2021-10-05,Suffolk,Chelsea,20-29 Years,6170.0,5522.0,4575.0,,,947.0
79697,2021-10-05,Suffolk,Chelsea,30-49 Years,11744.0,12197.0,10452.0,,,1745.0
79698,2021-10-05,Suffolk,Chelsea,50-64 Years,5861.0,6357.0,5646.0,,,711.0
79699,2021-10-05,Suffolk,Chelsea,65-74 Years,2092.0,2233.0,2072.0,,,161.0
79700,2021-10-05,Suffolk,Chelsea,75+ Years,1471.0,1531.0,1366.0,,,165.0
79701,2021-10-05,Suffolk,Chelsea,Total,36918.0,31332.0,27020.0,,,4312.0
82390,2021-10-12,Suffolk,Chelsea,12-15 Years,1768.0,1712.0,1458.0,,,254.0
82391,2021-10-12,Suffolk,Chelsea,16-19 Years,1762.0,1821.0,1479.0,,,342.0
82392,2021-10-12,Suffolk,Chelsea,20-29 Years,6170.0,5558.0,4622.0,,,936.0
82393,2021-10-12,Suffolk,Chelsea,30-49 Years,11744.0,12274.0,10526.0,,,1748.0
82394,2021-10-12,Suffolk,Chelsea,50-64 Years,5861.0,6364.0,5667.0,,,697.0
82395,2021-10-12,Suffolk,Chelsea,65-74 Years,2092.0,2251.0,2082.0,,,169.0
82396,2021-10-12,Suffolk,Chelsea,75+ Years,1471.0,1546.0,1374.0,,,172.0
82397,2021-10-12,Suffolk,Chelsea,Total,36918.0,31527.0,27208.0,,,4319.0
85086,2021-10-19,Suffolk,Chelsea,12-15 Years,1768.0,1730.0,1472.0,,,258.0
85087,2021-10-19,Suffolk,Chelsea,16-19 Years,1762.0,1832.0,1491.0,,,341.0
85088,2021-10-19,Suffolk,Chelsea,20-29 Years,6170.0,5611.0,4674.0,,,937.0
85089,2021-10-19,Suffolk,Chelsea,30-49 Years,11744.0,12297.0,10579.0,,,1718.0
85090,2021-10-19,Suffolk,Chelsea,50-64 Years,5861.0,6370.0,5680.0,,,690.0
85091,2021-10-19,Suffolk,Chelsea,65-74 Years,2092.0,2254.0,2078.0,,,176.0
85092,2021-10-19,Suffolk,Chelsea,75+ Years,1471.0,1562.0,1384.0,,,178.0
85093,2021-10-19,Suffolk,Chelsea,Total,36918.0,31657.0,27358.0,,,4299.0
87782,2021-10-26,Suffolk,Chelsea,12-15 Years,1768.0,1740.0,1489.0,,,251.0
87783,2021-10-26,Suffolk,Chelsea,16-19 Years,1762.0,1848.0,1505.0,,,343.0
87784,2021-10-26,Suffolk,Chelsea,20-29 Years,6170.0,5667.0,4727.0,,,940.0
