,date,county,city,race,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
117714,2021-11-30,Suffolk,Revere,Hispanic,24756.0,17081.0,14912.0,,,2169.0
117715,2021-11-30,Suffolk,Revere,Multi,582.0,988.0,901.0,,,87.0
117716,2021-11-30,Suffolk,Revere,NH/PI,11.0,,,,,
117717,2021-11-30,Suffolk,Revere,White,28857.0,20877.0,18581.0,,,2296.0
117718,2021-11-30,Suffolk,Revere,Other/Unknown,,5044.0,3843.0,,,1201.0
117719,2021-11-30,Suffolk,Revere,Total,60849.0,,,,,
120744,2021-12-07,Suffolk,Revere,AI/AN,55.0,51.0,44.0,,,7.0
120745,2021-12-07,Suffolk,Revere,Asian,3428.0,2730.0,2462.0,,,268.0
120746,2021-12-07,Suffolk,Revere,Black,3713.0,2189.0,1936.0,,,253.0
120747,2021-12-07,Suffolk,Revere,Hispanic,24756.0,17317.0,15064.0,,,2253.0
120748,2021-12-07,Suffolk,Revere,Multi,582.0,994.0,924.0,,,70.0
120749,2021-12-07,Suffolk,Revere,NH/PI,11.0,,,,,
120750,2021-12-07,Suffolk,Revere,White,28857.0,20705.0,18693.0,,,2012.0
120751,2021-12-07,Suffolk,Revere,Other/Unknown,,5050.0,3806.0,,,1244.0
120752,2021-12-07,Suffolk,Revere,Total,60849.0,,,,,
123777,2021-12-14,Suffolk,Revere,AI/AN,55.0,52.0,42.0,,,10.0
123778,2021-12-14,Suffolk,Revere,Asian,3428.0,2774.0,2501.0,,,273.0
123779,2021-12-14,Suffolk,Revere,Black,3713.0,2208.0,1956.0,,,252.0
123780,2021-12-14,Suffolk,Revere,Hispanic,24756.0,17618.0,15279.0,,,2339.0
123781,2021-12-14,Suffolk,Revere,Multi,582.0,1030.0,962.0,,,68.0
123782,2021-12-14,Suffolk,Revere,NH/PI,11.0,,,,,
123783,2021-12-14,Suffolk,Revere,White,28857.0,20839.0,18853.0,,,1986.0
123784,2021-12-14,Suffolk,Revere,Other/Unknown,,5041.0,3770.0,,,1271.0
123785,2021-12-14,Suffolk,Revere,Total,60849.0,,,,,
126810,2021-12-21,Suffolk,Revere,AI/AN,55.0,53.0,42.0,9.0,,11.0
126811,2021-12-21,Suffolk,Revere,Asian,3428.0,2806.0,2514.0,782.0,,292.0
126812,2021-12-21,Suffolk,Revere,Black,3713.0,2232.0,1962.0,367.0,,270.0
126813,2021-12-21,Suffolk,Revere,Hispanic,24756.0,17900.0,15413.0,2813.0,,2487.0
126814,2021-12-21,Suffolk,Revere,Multi,582.0,1063.0,985.0,345.0,,78.0
126815,2021-12-21,Suffolk,Revere,NH/PI,11.0,,,,,
126816,2021-12-21,Suffolk,Revere,White,28857.0,20939.0,18887.0,6673.0,,2052.0
126817,2021-12-21,Suffolk,Revere,Other/Unknown,,5049.0,3739.0,,,1310.0
126818,2021-12-21,Suffolk,Revere,Total,60849.0,,,,,
129843,2021-12-28,Suffolk,Revere,AI/AN,55.0,52.0,40.0,9.0,,12.0
129844,2021-12-28,Suffolk,Revere,Asian,3428.0,2821.0,2523.0,870.0,,298.0
129845,2021-12-28,Suffolk,Revere,Black,3713.0,2247.0,1964.0,411.0,,283.0
129846,2021-12-28,Suffolk,Revere,Hispanic,24756.0,18064.0,15521.0,3158.0,,2543.0
129847,2021-12-28,Suffolk,Revere,Multi,582.0,1074.0,997.0,371.0,,77.0
129848,2021-12-28,Suffolk,Revere,NH/PI,11.0,,,,,
129849,2021-12-28,Suffolk,Revere,White,28857.0,20987.0,18963.0,7203.0,,2024.0
129850,2021-12-28,Suffolk,Revere,Other/Unknown,,5071.0,3724.0,,,1347.0
129851,2021-12-28,Suffolk,Revere,Total,60849.0,,,,,
132876,2022-01-04,Suffolk,Revere,AI/AN,55.0,54.0,42.0,10.0,,12.0
132877,2022-01-04,Suffolk,Revere,Asian,3428.0,2843.0,2540.0,975.0,,303.0
132878,2022-01-04,Suffolk,Revere,Black,3713.0,2252.0,1969.0,458.0,,283.0
132879,2022-01-04,Suffolk,Revere,Hispanic,24756.0,18290.0,15680.0,3473.0,,2610.0
132880,2022-01-04,Suffolk,Revere,Multi,582.0,1090.0,1011.0,401.0,,79.0
132881,2022-01-04,Suffolk,Revere,NH/PI,11.0,,,,,
132882,2022-01-04,Suffolk,Revere,White,28857.0,21081.0,19021.0,7637.0,,2060.0
132883,2022-01-04,Suffolk,Revere,Other/Unknown,,5054.0,3702.0,,,1352.0
132884,2022-01-04,Suffolk,Revere,Total,60849.0,,,,,
135909,2022-01-11,Suffolk,Revere,AI/AN,55.0,54.0,44.0,11.0,,10.0
135910,2022-01-11,Suffolk,Revere,Asian,3428.0,2868.0,2557.0,1101.0,,311.0
135911,2022-01-11,Suffolk,Revere,Black,3713.0,2274.0,1995.0,537.0,,279.0
135912,2022-01-11,Suffolk,Revere,Hispanic,24756.0,18572.0,15860.0,3917.0,,2712.0
135913,2022-01-11,Suffolk,Revere,Multi,582.0,1113.0,1032.0,447.0,,81.0
135914,2022-01-11,Suffolk,Revere,NH/PI,11.0,,,,,
135915,2022-01-11,Suffolk,Revere,White,28857.0,21188.0,19106.0,8216.0,,2082.0
135916,2022-01-11,Suffolk,Revere,Other/Unknown,,5044.0,3696.0,,,1348.0
135917,2022-01-11,Suffolk,Revere,Total,60849.0,,,,,
138942,2022-01-18,Suffolk,Revere,AI/AN,55.0,53.0,45.0,10.0,,8.0
138943,2022-01-18,Suffolk,Revere,Asian,3428.0,2906.0,2572.0,1182.0,,334.0
138944,2022-01-18,Suffolk,Revere,Black,3713.0,2302.0,2008.0,595.0,,294.0
138945,2022-01-18,Suffolk,Revere,Hispanic,24756.0,18904.0,15982.0,4340.0,,2922.0
138946,2022-01-18,Suffolk,Revere,Multi,582.0,1128.0,1042.0,480.0,,86.0
138947,2022-01-18,Suffolk,Revere,NH/PI,11.0,,,,,
138948,2022-01-18,Suffolk,Revere,White,28857.0,21353.0,19188.0,8770.0,,2165.0
138949,2022-01-18,Suffolk,Revere,Other/Unknown,,5106.0,3688.0,,,1418.0
138950,2022-01-18,Suffolk,Revere,Total,60849.0,,,,,
141975,2022-01-25,Suffolk,Revere,AI/AN,55.0,54.0,45.0,12.0,,9.0
141976,2022-01-25,Suffolk,Revere,Asian,3428.0,2947.0,2590.0,1244.0,,357.0
141977,2022-01-25,Suffolk,Revere,Black,3713.0,2349.0,2033.0,655.0,,316.0
141978,2022-01-25,Suffolk,Revere,Hispanic,24756.0,19261.0,16152.0,4773.0,,3109.0
141979,2022-01-25,Suffolk,Revere,Multi,582.0,1156.0,1068.0,513.0,,88.0
141980,2022-01-25,Suffolk,Revere,NH/PI,11.0,,,,,
141981,2022-01-25,Suffolk,Revere,White,28857.0,21491.0,19278.0,9196.0,,2213.0
141982,2022-01-25,Suffolk,Revere,Other/Unknown,,5153.0,3687.0,,,1466.0
141983,2022-01-25,Suffolk,Revere,Total,60849.0,,,,,
145008,2022-02-01,Suffolk,Revere,AI/AN,55.0,52.0,44.0,12.0,,8.0
145009,2022-02-01,Suffolk,Revere,Asian,3428.0,2962.0,2600.0,1284.0,,362.0
145010,2022-02-01,Suffolk,Revere,Black,3713.0,2353.0,2040.0,696.0,,313.0
145011,2022-02-01,Suffolk,Revere,Hispanic,24756.0,19439.0,16312.0,5130.0,,3127.0
145012,2022-02-01,Suffolk,Revere,Multi,582.0,1174.0,1088.0,535.0,,86.0
145013,2022-02-01,Suffolk,Revere,NH/PI,11.0,,,,,
145014,2022-02-01,Suffolk,Revere,White,28857.0,21582.0,19350.0,9443.0,,2232.0
145015,2022-02-01,Suffolk,Revere,Other/Unknown,,5215.0,3690.0,,,1525.0
145016,2022-02-01,Suffolk,Revere,Total,60849.0,,,,,
148041,2022-02-08,Suffolk,Revere,AI/AN,55.0,53.0,45.0,13.0,,8.0
148042,2022-02-08,Suffolk,Revere,Asian,3428.0,2974.0,2611.0,1311.0,,363.0
148043,2022-02-08,Suffolk,Revere,Black,3713.0,2374.0,2073.0,743.0,,301.0
148044,2022-02-08,Suffolk,Revere,Hispanic,24756.0,19622.0,16470.0,5384.0,,3152.0
148045,2022-02-08,Suffolk,Revere,Multi,582.0,1192.0,1109.0,557.0,,83.0
148046,2022-02-08,Suffolk,Revere,NH/PI,11.0,,,,,
148047,2022-02-08,Suffolk,Revere,White,28857.0,21630.0,19442.0,9656.0,,2188.0
148048,2022-02-08,Suffolk,Revere,Other/Unknown,,5232.0,3701.0,,,1531.0
148049,2022-02-08,Suffolk,Revere,Total,60849.0,,,,,
151074,2022-02-15,Suffolk,Revere,AI/AN,55.0,54.0,45.0,14.0,,9.0
151075,2022-02-15,Suffolk,Revere,Asian,3428.0,2989.0,2626.0,1339.0,,363.0
151076,2022-02-15,Suffolk,Revere,Black,3713.0,2392.0,2099.0,783.0,,293.0
151077,2022-02-15,Suffolk,Revere,Hispanic,24756.0,19755.0,16642.0,5610.0,,3113.0
151078,2022-02-15,Suffolk,Revere,Multi,582.0,1200.0,1121.0,573.0,,79.0
151079,2022-02-15,Suffolk,Revere,NH/PI,11.0,,,,,
151080,2022-02-15,Suffolk,Revere,White,28857.0,21726.0,19530.0,9878.0,,2196.0
151081,2022-02-15,Suffolk,Revere,Other/Unknown,,5275.0,3708.0,,,1567.0
151082,2022-02-15,Suffolk,Revere,Total,60849.0,,,,,
154107,2022-02-22,Suffolk,Revere,AI/AN,55.0,56.0,47.0,15.0,,9.0
154108,2022-02-22,Suffolk,Revere,Asian,3428.0,3001.0,2630.0,1365.0,,371.0
154109,2022-02-22,Suffolk,Revere,Black,3713.0,2402.0,2108.0,819.0,,294.0
154110,2022-02-22,Suffolk,Revere,Hispanic,24756.0,19883.0,16770.0,5816.0,,3113.0
154111,2022-02-22,Suffolk,Revere,Multi,582.0,1215.0,1138.0,599.0,,77.0
154112,2022-02-22,Suffolk,Revere,NH/PI,11.0,,,,,
154113,2022-02-22,Suffolk,Revere,White,28857.0,21775.0,19592.0,10065.0,,2183.0
154114,2022-02-22,Suffolk,Revere,Other/Unknown,,5295.0,3708.0,,,1587.0
154115,2022-02-22,Suffolk,Revere,Total,60849.0,,,,,
157140,2022-03-01,Suffolk,Revere,AI/AN,55.0,55.0,47.0,15.0,,8.0
157141,2022-03-01,Suffolk,Revere,Asian,3428.0,2997.0,2633.0,1389.0,,364.0
157142,2022-03-01,Suffolk,Revere,Black,3713.0,2406.0,2119.0,866.0,,287.0
157143,2022-03-01,Suffolk,Revere,Hispanic,24756.0,19934.0,16877.0,6002.0,,3057.0
157144,2022-03-01,Suffolk,Revere,Multi,582.0,1231.0,1154.0,615.0,,77.0
157145,2022-03-01,Suffolk,Revere,NH/PI,11.0,,,,,
157146,2022-03-01,Suffolk,Revere,White,28857.0,21788.0,19638.0,10260.0,,2150.0
157147,2022-03-01,Suffolk,Revere,Other/Unknown,,5271.0,3695.0,,,1576.0
157148,2022-03-01,Suffolk,Revere,Total,60849.0,,,,,
160173,2022-03-08,Suffolk,Revere,AI/AN,55.0,55.0,47.0,15.0,,8.0
160174,2022-03-08,Suffolk,Revere,Asian,3428.0,3007.0,2641.0,1398.0,,366.0
160175,2022-03-08,Suffolk,Revere,Black,3713.0,2409.0,2128.0,876.0,,281.0
160176,2022-03-08,Suffolk,Revere,Hispanic,24756.0,19997.0,16971.0,6105.0,,3026.0
160177,2022-03-08,Suffolk,Revere,Multi,582.0,1233.0,1157.0,619.0,,76.0
160178,2022-03-08,Suffolk,Revere,NH/PI,11.0,,,,,
160179,2022-03-08,Suffolk,Revere,White,28857.0,21806.0,19686.0,10362.0,,2120.0
160180,2022-03-08,Suffolk,Revere,Other/Unknown,,5272.0,3696.0,,,1576.0
160181,2022-03-08,Suffolk,Revere,Total,60849.0,,,,,
163206,2022-03-15,Suffolk,Revere,AI/AN,55.0,55.0,48.0,15.0,,7.0
