,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
47354,2021-07-13,Suffolk,Revere,50-64 Years,12184.0,9692.0,8783.0,,,909.0
47355,2021-07-13,Suffolk,Revere,65-74 Years,5047.0,4243.0,3922.0,,,321.0
47356,2021-07-13,Suffolk,Revere,75+ Years,4312.0,3112.0,2736.0,,,376.0
47357,2021-07-13,Suffolk,Revere,Total,60849.0,41636.0,36883.0,,,4753.0
50046,2021-07-20,Suffolk,Revere,12-15 Years,2613.0,1620.0,1335.0,,,285.0
50047,2021-07-20,Suffolk,Revere,16-19 Years,2844.0,2048.0,1742.0,,,306.0
50048,2021-07-20,Suffolk,Revere,20-29 Years,8303.0,6415.0,5521.0,,,894.0
50049,2021-07-20,Suffolk,Revere,30-49 Years,17705.0,14796.0,13149.0,,,1647.0
50050,2021-07-20,Suffolk,Revere,50-64 Years,12184.0,9746.0,8848.0,,,898.0
50051,2021-07-20,Suffolk,Revere,65-74 Years,5047.0,4258.0,3937.0,,,321.0
50052,2021-07-20,Suffolk,Revere,75+ Years,4312.0,3124.0,2743.0,,,381.0
50053,2021-07-20,Suffolk,Revere,Total,60849.0,42007.0,37275.0,,,4732.0
52742,2021-07-27,Suffolk,Revere,12-15 Years,2613.0,1671.0,1365.0,,,306.0
52743,2021-07-27,Suffolk,Revere,16-19 Years,2844.0,2077.0,1770.0,,,307.0
52744,2021-07-27,Suffolk,Revere,20-29 Years,8303.0,6495.0,5587.0,,,908.0
52745,2021-07-27,Suffolk,Revere,30-49 Years,17705.0,14922.0,13275.0,,,1647.0
52746,2021-07-27,Suffolk,Revere,50-64 Years,12184.0,9800.0,8902.0,,,898.0
52747,2021-07-27,Suffolk,Revere,65-74 Years,5047.0,4271.0,3945.0,,,326.0
52748,2021-07-27,Suffolk,Revere,75+ Years,4312.0,3132.0,2748.0,,,384.0
52749,2021-07-27,Suffolk,Revere,Total,60849.0,42368.0,37592.0,,,4776.0
55438,2021-08-03,Suffolk,Revere,12-15 Years,2613.0,1730.0,1403.0,,,327.0
55439,2021-08-03,Suffolk,Revere,16-19 Years,2844.0,2120.0,1792.0,,,328.0
55440,2021-08-03,Suffolk,Revere,20-29 Years,8303.0,6599.0,5657.0,,,942.0
55441,2021-08-03,Suffolk,Revere,30-49 Years,17705.0,15083.0,13394.0,,,1689.0
55442,2021-08-03,Suffolk,Revere,50-64 Years,12184.0,9868.0,8942.0,,,926.0
