date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
2021-04-20,Suffolk,Chelsea,0-19 Years,9581,478,97,,,381
2021-04-20,Suffolk,Chelsea,20-29 Years,6170,2411,1069,,,1342
2021-04-20,Suffolk,Chelsea,30-49 Years,11744,6459,2937,,,3522
2021-04-20,Suffolk,Chelsea,50-64 Years,5861,4401,2329,,,2072
2021-04-20,Suffolk,Chelsea,65-74 Years,2092,1858,1535,,,323
2021-04-20,Suffolk,Chelsea,75+ Years,1471,1300,1141,,,159
2021-04-20,Suffolk,Chelsea,Total,36918,16907,9108,,,7799
2021-04-20,Suffolk,Revere,0-19 Years,13297,657,175,,,482
2021-04-20,Suffolk,Revere,20-29 Years,8303,3251,1482,,,1769
2021-04-20,Suffolk,Revere,30-49 Years,17705,8894,4410,,,4484
2021-04-20,Suffolk,Revere,50-64 Years,12184,7313,4466,,,2847
2021-04-20,Suffolk,Revere,65-74 Years,5047,3795,3191,,,604
2021-04-20,Suffolk,Revere,75+ Years,4312,2948,2475,,,473
2021-04-20,Suffolk,Revere,Total,60849,26858,16199,,,10659
2021-04-20,Middlesex,Newton,0-19 Years,24626,2610,688,,,1922
2021-04-20,Middlesex,Newton,20-29 Years,12487,5847,2754,,,3093
2021-04-20,Middlesex,Newton,30-49 Years,19706,14801,8240,,,6561
2021-04-20,Middlesex,Newton,50-64 Years,17494,15596,9339,,,6257
2021-04-20,Middlesex,Newton,65-74 Years,9938,9954,8741,,,1213
2021-04-20,Middlesex,Newton,75+ Years,7438,7383,6618,,,765
2021-04-20,Middlesex,Newton,Total,91690,56191,36380,,,19811
2021-04-20,Norfolk,Wellesley,0-19 Years,9572,1032,234,,,798
2021-04-20,Norfolk,Wellesley,20-29 Years,4462,1808,672,,,1136
2021-04-20,Norfolk,Wellesley,30-49 Years,5413,3680,1805,,,1875
2021-04-20,Norfolk,Wellesley,50-64 Years,5510,4850,2604,,,2246
2021-04-20,Norfolk,Wellesley,65-74 Years,2621,2155,1903,,,252
2021-04-20,Norfolk,Wellesley,75+ Years,2135,2048,1870,,,178
2021-04-20,Norfolk,Wellesley,Total,29713,15573,9088,,,6485
2021-04-27,Suffolk,Chelsea,0-19 Years,9581,647,143,,,504
2021-04-27,Suffolk,Chelsea,20-29 Years,6170,2708,1331,,,1377
2021-04-27,Suffolk,Chelsea,30-49 Years,11744,7254,3593,,,3661
2021-04-27,Suffolk,Chelsea,50-64 Years,5861,4747,2839,,,1908
2021-04-27,Suffolk,Chelsea,65-74 Years,2092,1901,1618,,,283
2021-04-27,Suffolk,Chelsea,75+ Years,1471,1315,1167,,,148
2021-04-27,Suffolk,Chelsea,Total,36918,18572,10691,,,7881
2021-04-27,Suffolk,Revere,0-19 Years,13297,858,278,,,580
2021-04-27,Suffolk,Revere,20-29 Years,8303,3762,1923,,,1839
2021-04-27,Suffolk,Revere,30-49 Years,17705,9902,5564,,,4338
2021-04-27,Suffolk,Revere,50-64 Years,12184,7797,5320,,,2477
2021-04-27,Suffolk,Revere,65-74 Years,5047,3882,3368,,,514
2021-04-27,Suffolk,Revere,75+ Years,4312,2980,2559,,,421
2021-04-27,Suffolk,Revere,Total,60849,29181,19012,,,10169
2021-04-27,Middlesex,Newton,0-19 Years,24626,3464,1109,,,2355
2021-04-27,Middlesex,Newton,20-29 Years,12487,6868,3473,,,3395
2021-04-27,Middlesex,Newton,30-49 Years,19706,16702,9727,,,6975
2021-04-27,Middlesex,Newton,50-64 Years,17494,16292,11187,,,5105
2021-04-27,Middlesex,Newton,65-74 Years,9938,10019,8993,,,1026
2021-04-27,Middlesex,Newton,75+ Years,7438,7414,6726,,,688
2021-04-27,Middlesex,Newton,Total,91690,60759,41215,,,19544
2021-04-27,Norfolk,Wellesley,0-19 Years,9572,1358,402,,,956
2021-04-27,Norfolk,Wellesley,20-29 Years,4462,2177,890,,,1287
2021-04-27,Norfolk,Wellesley,30-49 Years,5413,4179,2193,,,1986
2021-04-27,Norfolk,Wellesley,50-64 Years,5510,5094,3260,,,1834
2021-04-27,Norfolk,Wellesley,65-74 Years,2621,2159,1935,,,224
2021-04-27,Norfolk,Wellesley,75+ Years,2135,2053,1885,,,168
2021-04-27,Norfolk,Wellesley,Total,29713,17020,10565,,,6455
2021-05-04,Suffolk,Chelsea,0-19 Years,9581,740,276,,,464
2021-05-04,Suffolk,Chelsea,20-29 Years,6170,3004,1725,,,1279
2021-05-04,Suffolk,Chelsea,30-49 Years,11744,7745,4647,,,3098
2021-05-04,Suffolk,Chelsea,50-64 Years,5861,4923,3480,,,1443
2021-05-04,Suffolk,Chelsea,65-74 Years,2092,1929,1683,,,246
2021-05-04,Suffolk,Chelsea,75+ Years,1471,1332,1177,,,155
2021-05-04,Suffolk,Chelsea,Total,36918,19673,12988,,,6685
2021-05-04,Suffolk,Revere,0-19 Years,13297,1100,412,,,688
2021-05-04,Suffolk,Revere,20-29 Years,8303,4268,2412,,,1856
2021-05-04,Suffolk,Revere,30-49 Years,17705,10888,6843,,,4045
2021-05-04,Suffolk,Revere,50-64 Years,12184,8169,6088,,,2081
2021-05-04,Suffolk,Revere,65-74 Years,5047,3952,3468,,,484
2021-05-04,Suffolk,Revere,75+ Years,4312,2995,2586,,,409
2021-05-04,Suffolk,Revere,Total,60849,31372,21809,,,9563
2021-05-04,Middlesex,Newton,0-19 Years,24626,4027,1572,,,2455
2021-05-04,Middlesex,Newton,20-29 Years,12487,7410,4107,,,3303
2021-05-04,Middlesex,Newton,30-49 Years,19706,17797,11074,,,6723
2021-05-04,Middlesex,Newton,50-64 Years,17494,16742,12641,,,4101
2021-05-04,Middlesex,Newton,65-74 Years,9938,10074,9097,,,977
2021-05-04,Middlesex,Newton,75+ Years,7438,7464,6784,,,680
2021-05-04,Middlesex,Newton,Total,91690,63514,45275,,,18239
2021-05-04,Norfolk,Wellesley,0-19 Years,9572,1601,557,,,1044
2021-05-04,Norfolk,Wellesley,20-29 Years,4462,2365,1093,,,1272
2021-05-04,Norfolk,Wellesley,30-49 Years,5413,4496,2581,,,1915
2021-05-04,Norfolk,Wellesley,50-64 Years,5510,5258,3861,,,1397
2021-05-04,Norfolk,Wellesley,65-74 Years,2621,2173,1960,,,213
2021-05-04,Norfolk,Wellesley,75+ Years,2135,2061,1889,,,172
2021-05-04,Norfolk,Wellesley,Total,29713,17954,11941,,,6013
2021-05-11,Suffolk,Chelsea,0-19 Years,9581,860,418,,,442
2021-05-11,Suffolk,Chelsea,20-29 Years,6170,3277,2152,,,1125
2021-05-11,Suffolk,Chelsea,30-49 Years,11744,8318,5783,,,2535
2021-05-11,Suffolk,Chelsea,50-64 Years,5861,5116,4043,,,1073
2021-05-11,Suffolk,Chelsea,65-74 Years,2092,1965,1753,,,212
2021-05-11,Suffolk,Chelsea,75+ Years,1471,1343,1190,,,153
2021-05-11,Suffolk,Chelsea,Total,36918,20879,15339,,,5540
2021-05-11,Suffolk,Revere,0-19 Years,13297,1283,591,,,692
2021-05-11,Suffolk,Revere,20-29 Years,8303,4680,2938,,,1742
2021-05-11,Suffolk,Revere,30-49 Years,17705,11650,8115,,,3535
2021-05-11,Suffolk,Revere,50-64 Years,12184,8498,6748,,,1750
2021-05-11,Suffolk,Revere,65-74 Years,5047,4004,3559,,,445
2021-05-11,Suffolk,Revere,75+ Years,4312,3020,2608,,,412
2021-05-11,Suffolk,Revere,Total,60849,33135,24559,,,8576
2021-05-11,Middlesex,Newton,0-19 Years,24626,4506,2256,,,2250
2021-05-11,Middlesex,Newton,20-29 Years,12487,7939,5161,,,2778
2021-05-11,Middlesex,Newton,30-49 Years,19706,18482,13318,,,5164
2021-05-11,Middlesex,Newton,50-64 Years,17494,17048,14369,,,2679
2021-05-11,Middlesex,Newton,65-74 Years,9938,10133,9205,,,928
2021-05-11,Middlesex,Newton,75+ Years,7438,7502,6841,,,661
2021-05-11,Middlesex,Newton,Total,91690,65610,51150,,,14460
